s	-0.58801233459500310947949600201737942196639978059092993013238364113041542636467947319277097931297444597319650276133979376995835121301788549956921365380597520	1.40296064781598375056510712652031271921980638763463817629966138455112259330518937584554890002032444911846359493420151979202226430537330169611322933242695563
N	75

#1:i	 #2:Real(Cheb_phi_QNM)	 #3:Imag(Cheb_phi_QNM)
52	-5.9388556351774665752411772330200710011811020399555772276138312460060689995012721323194682769192683056320410436306101948153090048182664e-23	2.7495558989976658774517819106202831426007538229083449240937541067817620062545319516124327573826075863818365139528239824425709243611722e-23
53	-1.2466655718908411158458849206350670407062695554816482714266986241899467391717537760599416019215470818385602367689926533983762759614419e-23	6.11107687389980814244809128872739236621193746097431161844788611588704940763834246142265939085865565086321208699144863985915447195893e-24
54	2.5769506768159276482245016968833999763708626566252987188476627573873826725202705875321339744904896391924509216642217515193165604721053e-23	-1.2499382308421550613636259534222920302921590498802795298185239743529229163906507552867371285997175099357520861084042543650775068035299e-23
55	-9.995904526495103694328750308465844037091569543249098291721594467434701664480525064566345484346802274746901381898604864126699599544464e-24	8.883181405846460882977637419068997086085820948518511825213663185583256222306343527067474455965858422155163674716121259802688452269142e-24
56	3.43815944749945386926555950288222857259141723537988964520153076879150816075084600722170021829236940827591167184821820985329751942294e-25	-1.0008446478373144109068453392871209910484892495888314531015450601577884084507605649944329931670543325128840245285511385491832589966e-25
57	3.730600699682347107844908313035848647329061966393537350616213191526992100958347271584623970759974883055620866212784430963029872094278e-24	-2.278813750490836366980869302010889390567912802392988929876979836313126829035279697237413655182164792487421005032424136433122723886719e-24
58	-2.604422881497299038704696569273895551145130704511205605654346832206940099254029345184423816629896717011575857152456638114776427968393e-24	1.542427193358694321470649182045177561683724704899053062468350970889244488743192956018047602957761420399059680248402392438811754669716e-24
59	4.09134859573048455839313824929729759012669634304441335470205529443787174852249458064682165729598526624508833952038706379087603049005e-25	-4.36801346872987185416701221352226414342113223933448035421026470060898828778582876434685451922323409287516129126721186693343958136804e-25
60	4.82749757784273471852671960756384102811536300762400476101011174827899969476494455880572774451066298152401980993082706302851571008784e-25	-2.89564380704186496120811872870817604450640391306408401732246627808729711225136739073262109072994087488394858318404240908385817481635e-25
61	-5.02743723102398099604788474046545978436702394556839619828917243056741148807554458139870048804473582703101395575987604413107343830021e-25	3.23466452897354132112778577917545325623200419219350613152228291333639731155411098246409699401664970702490987564400277042953666068373e-25
62	1.92006069795315999705717464358816142587503923576186788942258148047620440971446048791402169450778492275545807455779612508712799259452e-25	-1.29135337026264714252495218768368945638381726018024298667615929497252419996005347225227692884188778503050692577669721629665039410935e-25
63	3.9326633031252059696814037633426645061341201294591085254992758270154273041341365761628374674973554761137138065211224325992420993487e-26	-1.0307875451011991419597393480809318253828852095829978165861177990607811791086605118888225200739354013113330805247252338450327717805e-26
64	-8.8218868371309559427042538616893201625561148104799449475465393453270591016005434976091323768301403771836673051577717998927851891933e-26	5.5285898023203418422392059398306876128750684190507459436926151218198250568497883458979407607196552323587288741646308830942363985846e-26
65	5.1866974642685080498237099591259371052419206790152893684342931390472102647571944980778759064616808224735994028632758077431643244334e-26	-3.595536488553671155840418452939926243849209273628882975190634141928762959565269133329621711324113213933978565078069582490253425411e-26
66	-8.131764194372345031608081510798240629089519258772585312346346822641238985637995262511434700500525726719507761295683712575142631052e-27	7.270185747388054560956844376022764443539095131806639365400298207204075942420853955904272331972679620600091465341586421184798947265e-27
67	-1.1992471762665139191826671670699888779182270899535307211485798097677284312195264064557867059524126310716501417997005053162063297015e-26	6.995200725788471269964016716335205048747384185287353513779795292871030689021755302335813214183157946241511091263591369856371143934e-27
68	1.1653894633480743192425427882650699263536576133132683313571597484909562236395436341398939764956148162048372321226341323743497978266e-26	-8.163128206375859808312479017871256016728113228788389010222542461253074993293526656379659686014583671470821028758411984746898857679e-27
69	-4.867101675379017946541682555806011901147376048691231878916245637733902380097802229566793007257495974872494401581368129733305268412e-27	3.618623195388357814908805465931515653004289179050537413071423314444424131599826467706048311381023114514594107161704954380591588587e-27
70	-3.2328397356173263214202962023455022503681851311989239613670688111867720734800926971753656054423023800716392307560460074909837416e-28	3.24694683508373907860843186886189745721260629162931297616838764749772874377711769627345409228795607644997312397990184496719959869e-28
71	2.104047835069017010775564948507624209343330324686829843486802749136525484308703613955445394093056715733932375060791663632379226863e-27	-1.610110014519875543961237085328085881437822984620542694489934817145109022378612539297548194697928156570364346202911955862235541268e-27
72	-1.622962335083038122950295754736000571324055043475448852443884553650813433244776023205100232577752809567883019414399748523465937705e-27	1.059331678541236072215562723141967220950609707738328265082550513386470643646875232309355128191110088933505909399719499897412677625e-27
73	4.76785338699053651622012069381624706613036917210469113606652547999318310924301215603002420923981498339076712596783697424559581253e-28	-1.33710469832862145212226413386853609977987909658450028113646865712103308666916125210745888345197083295248785216501988797849232049e-28
74	4.00867417186219259681238021858721347977978995833325214649410821882779600639166131498819444422622127205389831572239963632414139342e-28	-2.86303358508326135788137149160645853079648126771179754086580996827225739005377748958298525001959130480544829844309706394210843422e-28
